,,,,,,,,,,,,,,,,,,,,
,Age (years),Non-trauma EDV CRFs [ICD 10: A00-R99],SE,Asthma HA CRFs [ICD 10: J45],SE,WA baseline incidence rate (per person per day),Asthma symptoms onset CRFs [ICD 10: J45],SE,"COPD Emergency HA  CRFs [ICD 10: J41,J42,J43,J44]",SE,"Acute Otitis Media (ear ache) Outpatient healthcare CRFs [ICD-10: H65, H66, H67, H68, H69, J10, J11, J12]",SE,Respiratory Disease HA CRFs [ICD 10: J00-J99],SE,"Ischemic heart disease EDV CRFs [ICD 10: I20-I25, I46, I49]",SE,Age (years),,,
,29,0.0041531961,4.17E-05,0.00459837999999999,0.001881914,0.000000589057260273973,0.0303564599999999,0.0003469163,7.99E-03,0.002243114,0.000000420000000000975,3.90E-04,0.00358180999999999,0.0028623,-,-,29,,,
,30,0.0041344416,4.09E-05,0.00471218000000001,0.001854301,0.000000607015342465753,0.0303967930000001,0.0003440914,8.05E-03,0.002195436,0.000000246000000009294,3.90E-04,0.00372479000000001,0.002781841,-,-,30,,,
,31,0.0041156871,4.00E-05,0.0048262,0.001833695,0.000000626223835616438,0.0304331259999999,0.0003417674,8.05E-03,0.002151995,0.000000146999999992015,3.90E-04,0.00386946999999999,0.002709145,-,-,31,,,
,32,0.0040969325,3.92E-05,0.00494045999999998,0.001819708,0.000000646546849315068,0.030465757,0.0003399088,8.02E-03,0.002112085,0.0000000889999999947877,3.90E-04,0.00401588,0.002644833,-,-,32,,,
,33,0.004078178,3.85E-05,0.00505494000000001,0.001811875,0.000000667862465753425,0.0304949590000001,0.0003384814,7.96E-03,0.002074236,0.0000000550000000126838,3.90E-04,0.00416397000000002,0.002589465,-,-,33,,,
,34,0.0040594235,3.77E-05,0.00516969,0.001809664,0.000000690062465753425,0.030520978,0.0003374542,7.88E-03,0.002036781,0.0000000349999999954553,3.90E-04,0.00431377999999999,0.002543522,-,-,34,,,
,35,0.004040669,3.70E-05,0.0052847,0.001812499,0.000000713049315068493,0.0305440419999999,0.0003367987,7.78E-03,0.00199824,0.000000022000000002298,3.90E-04,0.00446529000000001,0.00250738,-,-,35,,,
,36,0.0040219144,3.63E-05,0.00539995999999998,0.001819775,0.000000736735890410959,0.030564362,0.0003364893,7.67E-03,0.001957532,0.000000013999999992631,3.90E-04,0.00461849,0.002481288,-,-,36,,,
,37,0.0040031599,3.57E-05,0.00551551,0.001830881,0.000000761043561643836,0.0305821260000001,0.0003365019,7.56E-03,0.001914028,0.00000000900000000914059,3.90E-04,0.00477338999999999,0.002465357,-,-,37,,,
,38,0.0039844054,3.51E-05,0.00563133000000002,0.001845211,0.000000785902191780822,0.0305975159999998,0.0003368128,7.44E-03,0.001867517,0.00000000599999999684186,3.90E-04,0.00492997000000001,0.002459548,-,-,38,,,
,39,0.0039656508,3.45E-05,0.00574743,0.001862181,0.00000081124794520548,0.0306106910000001,0.0003373975,7.32E-03,0.001818131,0.00000000399999999789458,3.90E-04,0.00508823,0.002463677,-,-,39,,,
,40,0.0039468963,3.40E-05,0.00586381999999999,0.001881239,0.000000837023287671233,0.0306218039999999,0.0003382292,7.21E-03,0.00176625,0.00000000299999999842093,3.90E-04,0.00524817999999999,0.002477422,-,-,40,,,
,41,0.0039281418,3.35E-05,0.0059805,0.001901873,0.000000863176712328767,0.0306309950000001,0.0003392781,7.09E-03,0.001712412,0.00000000199999999894729,3.90E-04,0.00540979,0.002500343,-,-,41,,,
,42,0.0039093873,3.30E-05,0.00609746999999999,0.001923614,0.000000889661095890411,0.030638393,0.0003405098,6.98E-03,0.001657241,0.000000000999999999473644,3.90E-04,0.00557307000000001,0.002531905,-,-,42,,,
,43,0.0038906327,3.26E-05,0.00621473,0.001946043,0.000000916433698630137,0.0306441179999999,0.0003418857,6.88E-03,0.001601391,0.000000000999999999473644,3.90E-04,0.00573802000000001,0.002571505,-,-,43,,,
